,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment
531,978T_10_0,2017-03-28,349.88685714285697,309.7460000000001,184.95000597038378,683.6919999999993,0.5285994663551186,175,3548.892404393701,1172.0694980302949,3641.693905027201,863.8956405786726,0.21879060848648207,778.7446986556962,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,26.2,20.7,18.4,67.8,43,0.0,3.1515151515151514,0.3173076923076923,2.23134693877551,4.733160173160173,223.82566580058892,198.1472103445215,4729.415211406462,5189.281545605872
532,978T_10_0,2017-03-29,297.5524731707317,273.875,143.58233599646402,568.1805999999999,0.48254458941794237,205,3622.8068954739597,1357.340858461763,3697.636234142931,1251.8695383869367,0.25295558409641217,918.6525895286921,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,25.0,19.9,16.9,66.3,40,0.0,3.1515151515151514,0.3173076923076923,1.904808362369338,4.04050258684405,183.4186762709072,168.82329838633615,5132.924448800774,5517.686372529867
533,978T_10_0,2017-03-30,862.4960136986299,375.91,1244.2825322031467,2981.591199999989,1.4426530818006995,73,3859.703158008907,1494.3117384625189,3871.4806664544667,1258.8894466809252,0.23279426376591097,905.5092087706814,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,25.4,19.5,16.6,67.0,42,0.0,3.1515151515151514,0.3173076923076923,5.349119373776908,11.346616853466168,1328.782021706139,579.1359517565132,6459.152134841531,8111.961313135381
534,978T_10_0,2017-03-31,282.00858064516143,254.027,147.7783304513084,587.7831999999999,0.5240206879990335,217,3838.2699076472986,1344.2636551881305,3917.524379286752,1159.0880747984006,0.25952535919891295,998.497293923799,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,23.5,18.7,16.0,65.8,45,0.0,3.1515151515151514,0.3173076923076923,1.7994733377221857,3.8170646557743333,179.72374151980227,161.89111261297407,5256.336195604955,5664.395654085152
535,978T_10_0,2017-04-03,301.43448275862073,272.392,151.77872282660275,566.4134,0.5035214333727783,203,3637.22734000794,1323.701650576053,3647.6127681892763,1322.1008385257596,0.1996752556204703,728.095989792268,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,28.1,20.6,16.3,68.9,34,0.0,3.1515151515151514,0.3173076923076923,1.9235749472202675,4.080310494103598,188.9291614158807,170.7262940371834,5158.642768130917,5536.127006715036
536,978T_10_0,2017-04-04,303.5307128712872,272.14050000000003,158.48450312849928,589.3371,0.5221366287098101,202,3553.4348396966184,1291.7471888174823,3782.4889848454022,1021.895039826235,0.2945964901483025,1049.4432421355957,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,29.7,22.1,17.9,65.0,27,0.0,3.1515151515151514,0.3173076923076923,1.9330975954738332,4.1005100510051005,193.14063851877557,173.16662765229827,4997.524663190413,5393.721124671637
537,978T_10_0,2017-04-05,295.5272946859904,252.72000000000003,171.64109295758658,620.0086999999999,0.5807960755028131,207,3651.0562656214843,1417.851193197113,3807.6506913197386,1332.524409580959,0.2992484818203616,1095.3285925223045,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,30.4,24.1,18.4,57.8,29,0.0,3.1515151515151514,0.3173076923076923,1.8864044168391993,4.001463914507393,197.6078839353851,168.98427091552816,5337.7829848360825,5760.183800900697
538,978T_10_0,2017-04-06,909.6079285714288,373.37699999999995,1155.665592649564,3785.7886999999982,1.2705095858878201,70,4233.733653866875,1569.4605447192082,4209.712080326259,1549.7035973939628,0.2823480278109914,1205.6473626660168,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,26.5,22.8,19.6,68.6,43,4.4,3.1515151515151514,0.3173076923076923,5.578367346938776,11.832900432900432,1188.9460710567143,488.04007004440115,6948.361748776936,9545.20437772022
539,978T_10_0,2017-04-07,351.76228160919544,307.53700000000003,192.38258623040855,660.9430499999999,0.5469107868823292,174,4050.502413539332,1964.0471526999222,4003.6274492696807,2400.2132375496826,0.3045210246696783,1237.0435974732827,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,22.6,20.7,19.3,89.8,80,80.0,3.1515151515151514,0.3173076923076923,2.2441707717569788,4.760362243120864,228.48919661346287,199.76241266533117,6632.329883432826,7064.783736819363
540,978T_10_0,2017-04-10,341.19639999999987,290.37850000000003,201.48468046955168,803.1453999999995,0.5905240514540944,180,3877.4536396632634,1361.2777932452777,4123.029237149553,1162.8079544536076,0.2911041978881933,1131.9818992031267,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,29.1,23.4,20.5,75.4,48,0.0,3.1515151515151514,0.3173076923076923,2.1693650793650794,4.601683501683501,230.0889749084066,195.8194500306591,5515.926166511567,6088.9825916031605
