,route,latitude,longitude
6343,5119-10-0,-23.567152324122304,-46.64866028944787
6344,5119-10-0,-23.564806273741624,-46.64704639333745
6345,5119-10-0,-23.5627943997655,-46.645346166012935
6346,5119-10-0,-23.56118039991393,-46.64398303598583
6347,5119-10-0,-23.55970424502366,-46.64272704347193
6348,5119-10-0,-23.5577754955373,-46.64107999106947
6349,5119-10-0,-23.555085696580235,-46.63911834099512
6350,5119-10-0,-23.552166883407427,-46.63643739842221
6351,5123-10-0,-23.676739086477674,-46.628112527015574
6352,5123-10-0,-23.67956119857043,-46.631188726066526
6353,5123-10-0,-23.681851718535004,-46.632667046913326
6354,5123-10-0,-23.683109630230145,-46.63489677179835
6355,5123-10-0,-23.68057423433853,-46.63891115627305
6356,5123-10-0,-23.67690174623347,-46.64159542228956
6357,5123-10-0,-23.673384489291998,-46.64329786978736
6358,5123-10-0,-23.67137640610398,-46.64401713603839
6359,5123-10-0,-23.67035798987521,-46.64273563399266
6360,5123-10-0,-23.66984373941755,-46.640353188467685
6361,5123-10-0,-23.66959606687537,-46.63755726061621
6362,5123-10-0,-23.6688115428402,-46.63534711369513
6363,5123-10-0,-23.66657853629027,-46.63714561297864
6364,5123-10-0,-23.66429794001979,-46.63786605213861
6365,5123-10-0,-23.661607662506814,-46.6373008031075
6366,5123-10-0,-23.65835604859011,-46.63576747347498
6367,5123-10-0,-23.654826418748947,-46.63663764298564
6368,5123-10-0,-23.651874817808633,-46.63760327254747
6369,5123-10-0,-23.65071745085707,-46.639959371555335
6370,5123-10-0,-23.64797177778306,-46.63993761290481
6371,5123-10-0,-23.644838887211343,-46.64105262950394
6372,5123-10-0,-23.642006414767685,-46.64132152564693
6373,5123-10-0,-23.637859933733772,-46.64116253110402
6374,5123-10-0,-23.63355117930258,-46.64143072632418
6375,5123-10-0,-23.63191959533287,-46.64153823373174
6376,5123-10-0,-23.62845379274362,-46.64128006783677
6377,5123-10-0,-23.624517227372756,-46.640416486451684
6378,5123-10-0,-23.622448264572153,-46.63996637594971
6379,5123-10-0,-23.619755247397382,-46.63936810351132
6380,5123-10-0,-23.617399381610763,-46.63886542552372
6381,5123-10-0,-23.61533530233919,-46.638421676513055
6382,5123-10-0,-23.612113873020373,-46.63779377447462
6383,5123-10-0,-23.6086061798634,-46.637746010811554
6384,5123-10-0,-23.604680678971956,-46.63675184066452
6385,5123-10-0,-23.600979278999777,-46.63496140733852
6386,5123-10-0,-23.599642644589586,-46.637738089732146
6387,5123-10-0,-23.59966592721384,-46.641045002495936
6388,5123-10-0,-23.599162237514573,-46.6441263396269
6389,5123-10-0,-23.596820655350868,-46.645187294906194
6390,5123-10-0,-23.594478429758368,-46.6431789611384
6391,5128-10-0,-23.711134034700645,-46.651632914373224
6392,5128-10-0,-23.70904562583144,-46.653604674156135
6393,5128-10-0,-23.709446478515318,-46.65582502863799
6394,5128-10-0,-23.708007662853454,-46.65553262375983
6395,5128-10-0,-23.7060741208916,-46.65324639372239
6396,5128-10-0,-23.70495403036619,-46.65081632543781
6397,5128-10-0,-23.70323306443974,-46.64868034314804
6398,5128-10-0,-23.702462116305636,-46.64509603179661
6399,5128-10-0,-23.70523955559722,-46.64321042428858
6400,5128-10-0,-23.70534310316265,-46.641953253517265
6401,5128-10-0,-23.702374013270713,-46.63980766618486
6402,5128-10-0,-23.699914012917073,-46.64131969730951
6403,5128-10-0,-23.69992579474878,-46.643388299921426
6404,5128-10-0,-23.699699493448573,-46.64606387464117
6405,5128-10-0,-23.698594901095724,-46.64772659216257
6406,5128-10-0,-23.69713650920992,-46.649190028739014
6407,5128-10-0,-23.695816581755334,-46.649927573174395
6408,5128-10-0,-23.694907270214106,-46.64840135072045
6409,5128-10-0,-23.693545658467002,-46.64478734110063
6410,5128-10-0,-23.690640542066184,-46.643761874931386
6411,5128-10-0,-23.68888276548929,-46.64321488377032
6412,5128-10-0,-23.687622556360104,-46.641619250136905
6413,5128-10-0,-23.68722979841344,-46.6388416671069
6414,5128-10-0,-23.685064046720058,-46.637524690847016
6415,5128-10-0,-23.68322315846047,-46.63800060046507
6416,5128-10-0,-23.680467958342668,-46.63901101313583
6417,5128-10-0,-23.67689931588079,-46.64159632937015
6418,5128-10-0,-23.673381993534914,-46.64329853532141
6419,5128-10-0,-23.6705830766673,-46.644824088851706
6420,5128-10-0,-23.669336956166454,-46.64563053040828
6421,5128-10-0,-23.668670745430852,-46.646560376081844
6422,5128-10-0,-23.667508829811016,-46.65005799126958
6423,5128-10-0,-23.665801395275135,-46.651343635846686
6424,5128-10-0,-23.663575855350757,-46.64971314025511
6425,5128-10-0,-23.661904399498734,-46.646015978047366
6426,5128-10-0,-23.659852142136355,-46.643908817917776
6427,5128-10-0,-23.658693952634795,-46.64309347117026
6428,5128-10-0,-23.65992898214997,-46.64082261341014
6429,5128-10-0,-23.661342552310362,-46.63951753077102
6430,5128-10-0,-23.66186495995945,-46.63885495923286
6431,5128-10-0,-23.66137309414934,-46.637190243938775
6432,5128-10-0,-23.658352964720805,-46.635766881371495
6433,5128-10-0,-23.654823388488353,-46.636638501384205
6434,5128-10-0,-23.651872976143792,-46.637606022261025
6435,5128-10-0,-23.650715189451525,-46.639961723416015
6436,5128-10-0,-23.647968646416885,-46.63993766444987
6437,5128-10-0,-23.64483581408208,-46.64105328404101
6438,5128-10-0,-23.642003287245284,-46.64132170173408
6439,5128-10-0,-23.638082991902788,-46.64116681479698
6440,5128-10-0,-23.633773008964614,-46.64140574249099
6441,5128-10-0,-23.631916471146123,-46.641537997943644
6442,5128-10-0,-23.630785182141707,-46.64155138729456
6443,5128-10-0,-23.63202672200251,-46.64396330622955
6444,5141-10-0,-23.614276167124515,-46.503016319325816
6445,5141-10-0,-23.610161265707788,-46.50411774611996
6446,5141-10-0,-23.607326559648197,-46.50697711303743
6447,5141-10-0,-23.604773045659122,-46.50881693644139
6448,5141-10-0,-23.602955805993762,-46.51026198392138
6449,5141-10-0,-23.601406014969765,-46.51148605655832
6450,5141-10-0,-23.60036097911534,-46.5124701808984
6451,5141-10-0,-23.599527970165372,-46.514559226325005
6452,5141-10-0,-23.598867023741377,-46.517418806360105
6453,5141-10-0,-23.59859919267868,-46.51965158453518
6454,5141-10-0,-23.59834196708223,-46.521892596869705
6455,5141-10-0,-23.59691945561112,-46.523258604977805
6456,5141-10-0,-23.59551509751502,-46.5243514210673
6457,5141-10-0,-23.59448622381891,-46.52690719762571
6458,5141-10-0,-23.59220933780599,-46.52937905188641
6459,5141-10-0,-23.590108160736044,-46.53200234095461
6460,5141-10-0,-23.587547788682528,-46.53243161300441
6461,5141-10-0,-23.585817663983313,-46.533375728858736
6462,5141-10-0,-23.5836191759193,-46.53480771608772
6463,5141-10-0,-23.581840199131758,-46.53681339795946
6464,5141-10-0,-23.58008235429506,-46.53860957184888
6465,5141-10-0,-23.579221464187423,-46.540754628097815
6466,5141-10-0,-23.57793431435099,-46.54605064730092
6467,5141-10-0,-23.575780243959564,-46.55180579146782
6468,5141-10-0,-23.574759059302128,-46.55503189199428
6469,5141-10-0,-23.574016839572984,-46.557368785102824
6470,5141-10-0,-23.57348149518451,-46.55907105076171
6471,5141-10-0,-23.573049032175415,-46.56177317221946
6472,5141-10-0,-23.57353853463987,-46.56506309361656
6473,5141-10-0,-23.573165148311176,-46.56787116311361
6474,5141-10-0,-23.569913712533204,-46.56953113121534
6475,5141-10-0,-23.565258587347635,-46.56997494150004
6476,5141-10-0,-23.56326721033657,-46.57240756431153
6477,5141-10-0,-23.562100305562694,-46.5738451796721
6478,5141-10-0,-23.56089887917097,-46.57531711399219
6479,5141-10-0,-23.558510080166666,-46.577157070313945
6480,5141-10-0,-23.555306999450245,-46.57703185916011
6481,5141-10-0,-23.552881879657836,-46.578993955037824
6482,5141-10-0,-23.55061320423518,-46.580275811310415
6483,5141-10-0,-23.547957394791958,-46.58254484704013
6484,5141-10-0,-23.545516209669117,-46.58513830050268
6485,5141-10-0,-23.54292125079974,-46.58739424785774
6486,5141-10-0,-23.543841429637393,-46.592194598755434
6487,5141-10-0,-23.545283500036962,-46.59766585272798
6488,5141-10-0,-23.547702477524588,-46.60236251670452
6489,5141-10-0,-23.5504255291919,-46.60725155909491
6490,5141-10-0,-23.552815782129375,-46.61231997301194
6491,5141-10-0,-23.552518200564887,-46.616355445573525
6492,5141-10-0,-23.55221384416031,-46.6194983841293
6493,5141-10-0,-23.55078620530177,-46.62503850557197
6494,5141-10-0,-23.545233827609366,-46.626466616815975
6495,5141-10-0,-23.541324891368895,-46.62840296429445
6496,5141-10-0,-23.53943040846699,-46.6326891304597
6497,5141-10-0,-23.539467361822915,-46.63628917399144
6498,5141-10-0,-23.541786925562192,-46.636521387885736
6499,5141-10-0,-23.54174098740881,-46.63587631584377
6500,5142-10-0,-23.614793498569668,-46.50241352932698
6501,5142-10-0,-23.617566841559487,-46.50126918082631
6502,5142-10-0,-23.620818895064463,-46.503042472854816
6503,5142-10-0,-23.623321730959677,-46.504219672143016
6504,5142-10-0,-23.624998999934128,-46.50365405480557
6505,5142-10-0,-23.625298205357783,-46.50523956140275
6506,5142-10-0,-23.62400230628038,-46.50722593154249
6507,5142-10-0,-23.622423465638125,-46.50962433280992
6508,5142-10-0,-23.620753778446492,-46.509155131804654
6509,5142-10-0,-23.61875875626706,-46.5111220773325
6510,5142-10-0,-23.617156760422677,-46.51237790437651
6511,5142-10-0,-23.61620750938668,-46.51347452488881
6512,5142-10-0,-23.615482937708496,-46.515075950938744
6513,5142-10-0,-23.614752816640266,-46.51581141179483
6514,5142-10-0,-23.61487670677692,-46.51316443704169
6515,5142-10-0,-23.61353790301623,-46.51140582816822
6516,5142-10-0,-23.611783507490554,-46.510159995104075
6517,5142-10-0,-23.610470490051064,-46.508584039695556
6518,5142-10-0,-23.609248954310047,-46.50933676656751
6519,5142-10-0,-23.60765091788571,-46.51078579114924
6520,5142-10-0,-23.60596003448031,-46.51171542963015
6521,5142-10-0,-23.60584599930536,-46.513267365252226
6522,5142-10-0,-23.60458586469369,-46.51544398213198
6523,5142-10-0,-23.604282306375467,-46.51863534067388
6524,5142-10-0,-23.605832876742316,-46.521410541247576
6525,5142-10-0,-23.604492507939533,-46.523282590681035
6526,5142-10-0,-23.60404585649414,-46.52551384139421
6527,5142-10-0,-23.60301599609217,-46.52761054027214
6528,5142-10-0,-23.60282040593847,-46.52976464685885
6529,5142-10-0,-23.601734027909185,-46.53104348643661
6530,5142-10-0,-23.60148980125218,-46.53282397370997
6531,5142-10-0,-23.601781236966882,-46.53460666908303
6532,5142-10-0,-23.601612665863737,-46.53612393380467
6533,5142-10-0,-23.59983094545317,-46.5375219789843
6534,5142-10-0,-23.59823048806238,-46.53941655874307
6535,5142-10-0,-23.597350659418677,-46.541254218374995
6536,5142-10-0,-23.59611984290385,-46.54272387845899
6537,5142-10-0,-23.594439246298354,-46.543799265156494
6538,5142-10-0,-23.592886708170624,-46.54585358253977
6539,5142-10-0,-23.591718626804365,-46.54872622931581
6540,5142-10-0,-23.590622233243167,-46.55144060143927
6541,5142-10-0,-23.58849172180733,-46.55464281861437
6542,5142-10-0,-23.586224791436788,-46.5575545323316
6543,5142-10-0,-23.58359711754129,-46.55812721531689
6544,5142-10-0,-23.582776845534276,-46.55965490011652
6545,5142-10-0,-23.58261694882773,-46.56071486395536
6546,5142-10-0,-23.582751195580666,-46.56250781356499
6547,5142-10-0,-23.584058521072148,-46.56385218579452
6548,5142-10-0,-23.583080390085545,-46.565739045926826
6549,5142-10-0,-23.582813690498547,-46.57326911035331
6550,5142-10-0,-23.584592344553638,-46.58016800825926
6551,5142-10-0,-23.58413243664033,-46.58391900520233
6552,5142-10-0,-23.58255916532729,-46.58523676480472
6553,5142-10-0,-23.581680385810095,-46.587161160541534
6554,5142-10-0,-23.58187967200305,-46.590997178736835
6555,5142-10-0,-23.581733521852172,-46.59772591544164
6556,5142-10-0,-23.580228006110527,-46.60167982237264
6557,5142-10-0,-23.577088512218534,-46.602627307124905
6558,5142-10-0,-23.576999264090496,-46.60623921138642
6559,5142-10-0,-23.577111705421647,-46.610323045166275
6560,5142-10-0,-23.57372630085043,-46.61075272018782
6561,5142-10-0,-23.571678397070603,-46.61095561615689
6562,5142-10-0,-23.569961438866617,-46.61113445040448
6563,5142-10-0,-23.56727052470569,-46.61333346674209
6564,5142-10-0,-23.564704329551425,-46.61671099385217
6565,5142-10-0,-23.563884159984905,-46.61863310562843
6566,5142-10-0,-23.562970748813424,-46.62056781754269
6567,5142-10-0,-23.56169340342482,-46.62161660533387
6568,5142-10-0,-23.55984064362844,-46.621851565202064
6569,5142-10-0,-23.559355011873308,-46.62383080489219
6570,5142-10-0,-23.558396961637367,-46.62601917760675
6571,5142-10-0,-23.55431337277518,-46.62662383163766
6572,5142-10-0,-23.549210913139973,-46.62563449903985
6573,5143-10-0,-23.614258196661677,-46.503031990576225
6574,5143-10-0,-23.610161269628886,-46.504117744173506
6575,5143-10-0,-23.60732656342505,-46.50697711077998
6576,5143-10-0,-23.604294580696788,-46.509583717758765
6577,5143-10-0,-23.603191161884066,-46.51317817949788
6578,5143-10-0,-23.60269261988005,-46.516408561636226
6579,5143-10-0,-23.60243515214523,-46.51919084601785
6580,5143-10-0,-23.6020580640406,-46.52294334877518
6581,5143-10-0,-23.600956946149342,-46.52680360521672
6582,5143-10-0,-23.599540408831153,-46.529186730152205
6583,5143-10-0,-23.598412994825782,-46.53256700133015
6584,5143-10-0,-23.59699520625581,-46.53589861612275
6585,5143-10-0,-23.595030341508593,-46.53782967977105
6586,5143-10-0,-23.592776461294886,-46.54020588283331
6587,5143-10-0,-23.58921027796673,-46.54415399330155
6588,5143-10-0,-23.58594881282348,-46.54745064556964
6589,5143-10-0,-23.583703116038716,-46.550808820261466
6590,5143-10-0,-23.58225946895126,-46.5556526071004
6591,5143-10-0,-23.5816212314424,-46.55901068447578
6592,5143-10-0,-23.58175378416203,-46.56058182776132
6593,5143-10-0,-23.581847442237354,-46.560981956994226
6594,5143-10-0,-23.582169720540445,-46.56256305284648
6595,5143-10-0,-23.58247811340831,-46.564951884137884
6596,5143-10-0,-23.582686270972356,-46.567022337048165
6597,5143-10-0,-23.58281342286171,-46.5732640249722
6598,5143-10-0,-23.584591555029828,-46.58016298708855
6599,5143-10-0,-23.58411705117537,-46.58564464084452
6600,5143-10-0,-23.587888128768956,-46.59456096651752
6601,5143-10-0,-23.581892199513426,-46.59933396063353
6602,5143-10-0,-23.577996591440474,-46.600062663492686
6603,5143-10-0,-23.575430159295227,-46.60175540076286
6604,5143-10-0,-23.572945457205016,-46.603784446466754
6605,5143-10-0,-23.570119222914325,-46.60517018574436
6606,5143-10-0,-23.567977610953214,-46.60862213955092
6607,5143-10-0,-23.564840222242918,-46.61047481318433
6608,5143-10-0,-23.562926243324252,-46.61157876443289
6609,5143-10-0,-23.5610838013567,-46.612569469898006
6610,5143-10-0,-23.559975811026526,-46.61330821722709
6611,5143-10-0,-23.55888840148866,-46.614459418892146
6612,5143-10-0,-23.557478141253334,-46.6179772413254
6613,5143-10-0,-23.556383091201347,-46.62136417324895
6614,5143-10-0,-23.555574703201955,-46.623068448516534
6615,5143-10-0,-23.554621846774484,-46.62427840159802
6616,5143-10-0,-23.552593342398318,-46.6254821109068
6617,5143-10-0,-23.549178720091152,-46.625651869136306
6618,5143-10-0,-23.543695074804813,-46.6294269528581
6619,5144-10-0,-23.614635723238997,-46.50253540709909
6620,5144-10-0,-23.610161148579014,-46.504117804263046
6621,5144-10-0,-23.607326446828242,-46.50697718047078
6622,5144-10-0,-23.604772940491916,-46.5088170171354
6623,5144-10-0,-23.60295570027866,-46.5102620637667
6624,5144-10-0,-23.601405910325177,-46.511486138046244
6625,5144-10-0,-23.60036091393771,-46.51247030144833
6626,5144-10-0,-23.59952791954574,-46.51455935484377
6627,5144-10-0,-23.598867007169382,-46.517418944962486
6628,5144-10-0,-23.598599177614663,-46.51965172333964
6629,5144-10-0,-23.598341946036623,-46.5218927347546
6630,5144-10-0,-23.596919349306848,-46.52325868389188
6631,5144-10-0,-23.59551499727463,-46.524351508828154
6632,5144-10-0,-23.594486155590104,-46.52690731616482
6633,5144-10-0,-23.592209250351935,-46.52937915448805
6634,5144-10-0,-23.590108040884562,-46.53200239213669
6635,5144-10-0,-23.587547669421333,-46.53243166578387
6636,5144-10-0,-23.585817549825776,-46.533375793573775
6637,5144-10-0,-23.583619071284552,-46.53480779757766
6638,5144-10-0,-23.58184009856562,-46.536813485270486
6639,5144-10-0,-23.58008227669674,-46.538609683383285
6640,5144-10-0,-23.57922143245387,-46.54075476353202
6641,5144-10-0,-23.577934283262532,-46.54605078290951
6642,5144-10-0,-23.575780198068674,-46.55180592203485
6643,5144-10-0,-23.574759017853033,-46.55503202429723
6644,5144-10-0,-23.574016798241697,-46.55736891744826
6645,5144-10-0,-23.57348145417128,-46.559071183222926
6646,5144-10-0,-23.572841620860853,-46.56108368447215
6647,5144-10-0,-23.572055703619096,-46.56316957629233
6648,5144-10-0,-23.57151900996616,-46.56513138585369
6649,5144-10-0,-23.570533248444523,-46.56642911197782
6650,5144-10-0,-23.56946418694772,-46.56713271461195
6651,5144-10-0,-23.56855706012376,-46.56873887962969
6652,5144-10-0,-23.565222927337928,-46.57002042012853
6653,5144-10-0,-23.563267079896185,-46.572407725443924
6654,5144-10-0,-23.56210017460151,-46.57384534030501
6655,5144-10-0,-23.560898746543508,-46.57531727300651
6656,5144-10-0,-23.55850989843382,-46.577157154689736
6657,5144-10-0,-23.555306912860058,-46.57703205192631
6658,5144-10-0,-23.552881702235638,-46.578994049591174
6659,5144-10-0,-23.55096077350981,-46.580064325093964
6660,5144-10-0,-23.55207737197946,-46.581860249910086
6661,5144-10-0,-23.55052459129484,-46.5837434793299
6662,5144-10-0,-23.549107871141658,-46.58537318996893
6663,5144-10-0,-23.546820999850052,-46.58704733214286
6664,5144-10-0,-23.544859480645318,-46.58821851278211
6665,5144-10-0,-23.545266139168646,-46.59020626223056
6666,5144-10-0,-23.54386057780864,-46.593604801882194
6667,5144-10-0,-23.54028177078217,-46.59524577810945
6668,5144-10-0,-23.537536936523498,-46.59609948609967
6669,5144-10-0,-23.538094758599264,-46.59904528916205
6670,5144-10-0,-23.538496759366403,-46.60330665047892
6671,5144-10-0,-23.538844960760713,-46.60562972373358
6672,5144-10-0,-23.5393328152847,-46.60868228623653
6673,5144-10-0,-23.5399282770914,-46.61255827433157
6674,5144-10-0,-23.536950139068068,-46.61408799308735
6675,5144-10-0,-23.53391772516226,-46.61327435470648
6676,5144-10-0,-23.53482727924069,-46.615300496312194
6677,5144-10-0,-23.53544850459485,-46.6178425264259
6678,5144-10-0,-23.535051991668144,-46.621968761577406
6679,5144-10-0,-23.53403219462767,-46.62564770496594
6680,5144-10-0,-23.53315831957524,-46.62906818427274
6681,5144-10-0,-23.532433804068386,-46.63265181486483
6682,5144-10-0,-23.531521758067292,-46.636131716612155
6683,5144-10-0,-23.531351250957012,-46.63893017201523
6684,5144-10-0,-23.5291263199293,-46.64027247661708
6685,5144-10-0,-23.530631916525568,-46.643054512513466
6686,5144-10-0,-23.53222152652682,-46.645556498861886
6687,5144-10-0,-23.534288414528525,-46.64401312543109
6688,5144-10-0,-23.534005377873374,-46.64483400892509
6689,5290-10-0,-23.681648290268434,-46.63686193740884
6690,5290-10-0,-23.68024923074008,-46.63618358875492
6691,5290-10-0,-23.678791542948865,-46.63042342095197
