,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75
74,3006-10-0,0.8885452921598568,0.8726446684281063,0.8567720442436901,0.8604589985841297,0.4098569961078101,0.6171308457351232,0.6092879578116733,0.7419174756224544
75,3021-10-0,0.8511249827839293,0.8482122303791668,0.8416255219703693,0.8508727950921882,0.248170977653771,0.2670477547893354,0.3064456538355448,0.4189000360697549
76,3024-10-0,0.8187331416505176,0.8231321029950408,0.8209007961296546,0.8167331242920387,0.26337598759155706,0.308676438621323,0.3339812506049186,0.4328907398240614
77,3027-10-0,0.6551684966287574,0.6932018092807922,0.707200665248046,0.7463876029007556,0.1762833499772586,0.22010056721628207,0.23546860885043555,0.30685717254422534
78,3029-10-0,0.9118590112438739,0.9165621158233971,0.9094511984671253,0.908156143354507,0.20548841507707838,0.22513025831842284,0.28116600667920916,0.3476022558462396
79,3069-10-0,0.7689626410407434,0.7842232103107322,0.7805613467051581,0.7824972356400586,0.20844905465172697,0.2897071207755381,0.3632608607135091,0.6096623896071786
80,3099-10-0,0.6521812729817462,0.7097439179447647,0.7340742534134449,0.7525355762680965,0.2755521758707802,0.32972571649655147,0.3524936349720988,0.4525935573132866
81,3141-10-0,0.938607655262695,0.9505640770428869,0.9671906966962508,1.1031491149830899,0.23653029732608172,0.2738026742332358,0.24325044406152307,0.29849518618137433
82,314V-10-0,1.1931823775250867,1.1598610178043465,1.1529960299990383,1.1372495393214994,0.17198123321438702,0.18842486308159162,0.19538829671794122,0.3267202246096096
83,3160-10-0,0.763903284333318,0.8224152331636507,0.8640095720645713,1.3758950327959942,0.3305540950063789,0.4331557334619006,0.5898518554784423,1.0458299198796108
84,342C-10-0,0.6950462115750391,0.705275084926164,0.7217231602640107,0.7324147266712303,0.13203535398737073,0.15676418307552767,0.18016157434067878,0.24606476140075154
85,352A-10-0,0.7836190374725565,0.9422506327462805,0.963288997264927,0.9787607917862416,0.2316315245070832,0.25123869790523745,0.2662390542499972,0.33805560757787056
86,354M-10-0,1.0338194008024475,1.0229859378746982,1.0254379322352345,1.025004302185549,0.2383789221747492,0.26752864985547603,0.2236892428643833,0.3178412306782942
88,3686-10-0,0.9452716237004957,0.9885329654398498,1.0057711512338825,1.0140296693831083,0.18155140040848017,0.21971473107821676,0.2737717461598488,0.41445741334494574
89,3712-10-0,1.0056206923456055,0.9938992804197969,0.9658658644798049,0.962650704522765,0.1734126545308284,0.206641384199709,0.23546091859175594,0.3850890882970345
90,3721-10-0,0.7992389193665828,0.8144984798612115,0.8304883533486972,0.8390653295354978,0.14535569920918326,0.1716978760827247,0.24291287016753574,0.2030786215916636
91,3729-10-0,0.6714095934476839,0.7225825099756408,0.7572898502804843,0.7954751139560967,0.20727741040767225,0.24256572827071385,0.295126520641073,0.41581471400055015
92,372U-10-0,0.7705180507870649,0.8068220370199116,0.8371343917388598,0.9266368433772929,0.21930269772751979,0.2749192695532203,0.3656197596003542,0.45538321773240054
93,3731-10-0,0.7476759471455638,0.756747336808485,0.7572243267767126,0.7654417952414776,0.19611748248921773,0.24741436932346375,0.31271610015399104,0.46854238220350125
94,3734-10-0,0.6630326123261389,0.6813985293982321,0.7023261197850059,0.7251185339511,0.1948974384302966,0.23026143257456283,0.298448784984914,0.24668700348066916
95,3738-10-0,0.9808856034053772,0.9772816163310583,0.9917450130504274,0.9788242477242579,0.18913595593530627,0.24929528224868588,0.23207659099765254,0.2600147476597589
96,373T-10-0,0.7787750122628373,0.8304572609243246,0.8623354297593971,0.9091784104464616,0.21719475711467226,0.24426186440395367,0.2642986683571971,0.31374529587817623
97,3745-10-0,0.6400265606278898,0.6866265665411615,0.6997567763280769,0.7332674589497086,0.18856696599750467,0.2071644457939142,0.25260497814675403,0.3465059946414851
98,3746-10-0,0.9366802653817391,0.9650894215516193,0.9847255625891899,0.9760759078517438,0.20238575708007,0.20779436206006624,0.23332870248188028,0.33603005327240065
99,374M-10-0,0.8356577427488968,0.8378437770992946,0.849817777939346,0.8541694359052234,0.16926640253653866,0.19113863955361832,0.21255060925471123,0.2583525255771591
100,374V-10-0,0.8474763480688862,0.8688071604390676,0.8737685893455404,0.8871053117458111,0.1667412756400949,0.22214000626349734,0.23400479240042965,0.30078414382445234
101,3761-10-0,1.0375708981494365,1.0299211655116352,1.0110501752832182,1.1005578051242364,0.18812799518441986,0.2477105082718861,0.29601577386526556,0.4742329576893478
102,3778-10-0,0.6624324501232328,0.7009279649808291,0.7262709410915046,0.7588361637640879,0.17567709609993212,0.24817016173982312,0.2742174066262475,0.3978730322549214
103,3791-10-0,0.7178228776318984,0.7303028487638448,0.7519051034099352,0.7721708482718469,0.2088403320593618,0.2313466562134803,0.2938274711016412,0.4300654987906552
104,3795-10-0,0.8484805957012455,0.8579957490567938,0.8635745524560918,0.8784137162645812,0.2908907888727766,0.3841840518806994,0.40977041706041417,0.7702196952577204
105,3901-10-0,0.6823399749088608,0.6831222799730787,0.692558221082692,0.7007038331632197,0.1746238675438293,0.21213769381746367,0.22999029277553093,0.4155651333439049
106,4001-10-0,0.9542072192980953,0.946935621943552,0.9441679740645524,0.9917361978439427,0.2309783722674819,0.2913689624126693,0.3158800748241136,0.3900004136956222
107,4003-10-0,0.7144638104475812,0.7529102059281164,0.7539994304612612,0.766548953014331,0.21904141918387485,0.26554041422359875,0.2860889210606604,0.30629012436785685
108,4010-10-0,0.650568206402062,0.6563051264880109,0.7126564883402768,0.7237075464514504,0.2593348425652967,0.30725149103028204,0.370625294176768,0.5049973360512084
109,4011-10-0,0.7981860374947576,0.8092796639073724,0.8282351732416015,0.8324645350516778,0.24280568028079771,0.2760095838695372,0.3379502829190228,0.33838310314692766
110,4017-10-0,0.771916976148393,0.7843230381300936,0.8111519929587434,0.8270067426713043,0.23653134396867675,0.2778690224007009,0.40101848509088056,0.4787600927622867
