trip,headway
233A10,1405.263158
233A10,1373.684211
233C10,852.631579
233C10,862.105263
234A10,1768.421053
234A10,1736.842105
236310,890.526316
236310,909.473684
243510,1136.842105
243510,1247.368421
245110,1531.578947
245110,1500.000000
246010,871.578947
246010,930.000000
246310,2052.631579
246310,1966.666667
250110,1010.526316
250110,1136.842105
252210,1045.263158
252310,1168.421053
252310,1173.333333
252321,2400.000000
253F10,1326.315789
253F10,1373.684211
255110,1301.052632
255110,1183.333333
255210,514.736842
255210,596.842105
255241,1500.000000
255241,2700.000000
258210,941.052632
258210,1029.473684
258221,3000.000000
258310,1143.157895
258310,1247.368421
259010,792.631579
259010,713.333333
259021,1800.000000
262610,754.736842
262610,950.526316
262810,1933.333333
262810,1835.294118
263C10,1200.000000
263C10,1158.947368
263J10,620.000000
263J10,634.736842
266610,792.631579
266610,814.736842
266621,1800.000000
267810,713.684211
267810,673.333333
267841,1200.000000
270210,486.315789
270210,546.315789
270221,420.000000
270310,388.421053
270310,457.894737
270321,420.000000
270322,1350.000000
270410,552.631579
270410,606.315789
270510,600.000000
270510,757.894737
270610,495.789474
270610,463.333333
270710,489.473684
270710,521.052632
270731,1200.000000
270810,581.052632
270810,612.631579
270910,540.000000
270910,466.666667
270931,757.894737
270931,606.666667
271010,413.684211
271031,1200.000000
271110,691.578947
271110,530.000000
271210,543.157895
271310,1989.473684
271410,325.263158
271510,508.421053
271510,463.333333
271610,682.105263
271610,530.000000
271710,558.947368
271810,366.315789
271810,505.263158
271910,262.105263
271910,300.000000
271A10,780.000000
271A10,846.315789
271A51,1215.789474
271A51,1100.000000
271C10,1123.333333
271F10,726.315789
271F10,663.333333
271M10,833.684211
271M10,696.666667
271P10,1042.105263
271P10,966.666667
272010,347.368421
272010,498.947368
272031,1800.000000
272031,1800.000000
272110,603.157895
272110,573.333333
272210,341.052632
272210,407.368421
272231,558.947368
272310,745.263158
272310,816.666667
272410,457.894737
272510,600.000000
272510,634.736842
272610,571.578947
272610,546.666667
272710,274.736842
272810,271.578947
272810,404.210526
272N10,1278.947368
273010,558.947368
273010,556.666667
273110,378.947368
273110,340.000000
273210,388.421053
273310,533.684211
273310,584.210526
273410,549.473684
273410,523.333333
273510,580.000000
273510,600.000000
273521,950.000000
273521,966.666667
273610,776.842105
273610,780.000000
273D10,1263.157895
