,route,elevation
239,8542-10-0,66.3697509765625
240,8544-10-0,143.8870849609375
241,8549-10-0,149.43231201171875
242,857A-10-0,70.619384765625
243,857C-10-0,79.4281005859375
244,857P-10-0,96.408935546875
245,8594-10-0,224.30706787109375
246,8605-10-0,96.21563720703125
247,8622-10-0,59.5816650390625
248,875A-10-0,67.59454345703125
249,875H-10-0,87.9150390625
250,875P-10-0,94.8778076171875
251,888P-10-0,100.08819580078125
252,9004-10-0,54.11126708984375
253,9005-10-0,36.991943359375
254,9006-10-0,46.9776611328125
255,9008-10-0,141.37982177734375
256,9012-10-0,52.226318359375
257,9018-10-0,21.902099609375
258,9020-10-0,49.68084716796875
259,9023-10-0,210.00830078125
260,9051-10-0,56.14404296875
261,9191-10-0,84.67864990234375
262,930P-10-0,91.156005859375
263,938L-10-0,20.54437255859375
264,948A-10-0,76.03546142578125
265,9717-10-0,66.87115478515625
266,9784-10-0,47.123291015625
267,9785-10-0,128.4609375
268,9789-10-0,150.66522216796875
