route,headway_scheduled,distance,route_type,num_trips_day,capacity,origin,destination,line
507T-10-0,483.157895,16.253418747566712,1,144,86,4,4,507T10
5317-10-0,1146.315789,29.31159476078529,4,64,86,6,9,531710
778J-10-0,1831.578947,22.90605772467065,0,52,75,8,9,778J10
5022-10-0,410.0,4.0106315761979765,2,164,35,6,6,502210
5141-10-0,1177.894737,20.08799468229382,4,62,81,5,9,514110
5757-10-0,505.263158,9.873754866492996,2,115,38,6,6,575710
3021-10-0,1389.473684,9.613365163792327,2,41,75,5,5,302110
408A-10-0,846.666667,11.176585587209106,5,88,86,4,9,408A10
675I-10-0,688.421053,18.114553463541945,3,107,171,7,5,675I10
6820-10-0,726.315789,5.253583720004062,2,107,86,7,7,682010
4010-10-0,1800.0,10.502870919237703,2,49,75,4,4,401010
271A-10-0,780.0,13.810933596840494,0,100,86,2,2,271A10
3712-10-0,549.4736839999998,6.7161397358993495,0,134,37,4,4,371210
9006-10-0,647.368421,3.7467633375220086,2,132,35,1,2,900610
2762-10-0,862.105263,18.717194886874328,2,104,80,3,4,276210
4734-10-0,325.2631580000001,7.942214499439684,2,238,55,5,9,473410
8194-10-0,865.263158,20.093205994409825,2,87,35,1,2,819410
6805-10-0,1001.052632,5.376413646562492,2,77,134,7,7,680510
5370-10-0,492.631579,29.78662966294836,3,146,143,6,9,537010
6041-10-0,385.263158,12.958589188854154,0,139,54,7,6,604110
5012-10-0,416.842105,14.533475907146276,2,143,38,6,6,501210
6056-10-0,318.9473680000001,6.531729216270704,1,172,54,6,6,605610
2203-10-0,952.941176,11.888855631856707,2,65,35,3,3,220310
2523-10-0,1168.421053,7.211493994398108,1,94,75,3,3,252310
8544-10-0,2210.526316,26.02697374482439,4,32,77,1,9,854410
478P-10-0,1010.526316,26.13582346096872,0,73,93,5,8,478P10
8542-10-0,1061.052632,21.912168232418928,4,75,77,1,9,854210
5108-10-0,577.894737,17.391173687918943,4,126,171,5,9,510810
2100-10-0,429.473684,15.093085964398062,4,118,86,4,9,210010
106A-10-0,470.526316,15.845053406832188,5,134,171,2,7,106A10
2088-10-0,1500.0,19.286383923945074,1,49,75,3,3,208810
5107-10-0,666.315789,10.1900050536876,3,135,100,5,9,510710
6015-10-0,641.052632,17.221992443824096,2,116,35,7,7,601510
737A-10-0,555.789474,9.237881326434124,3,154,171,7,6,737A10
9018-10-0,675.789474,2.0345236000080216,2,118,35,1,1,901810
5759-10-0,887.3684210000001,12.255663521039068,2,71,35,6,6,
9008-10-0,461.052632,8.212760727970633,2,162,35,1,2,900810
271P-10-0,1042.105263,16.542648817678195,4,77,75,2,9,271P10
172K-10-0,742.105263,19.18163672319601,0,117,75,2,4,172K10
1759-10-0,710.5263160000003,8.888353062561519,2,103,75,2,2,175910
1758-10-0,770.5263160000003,9.87946000519804,2,102,75,2,2,175810
2011-10-0,628.421053,12.841458852684116,2,119,86,2,2,201110
2769-10-0,1357.894737,26.502782163525186,2,75,81,3,4,276910
3901-10-0,1383.333333,11.067519149100695,2,50,75,3,4,390110
809U-10-0,1093.333333,14.34932927821704,0,62,86,8,9,809U10
179X-10-0,874.736842,23.043504324515748,0,96,75,2,9,179X10
1178-10-0,836.842105,31.385976642409616,4,84,168,3,9,117810
5024-10-0,612.631579,10.708747397942032,0,95,35,6,7,502410
7458-10-0,1010.526316,21.86570463059794,0,73,86,8,9,745810
3024-10-0,1231.578947,9.307764688460736,2,60,75,5,5,302410
6825-10-0,761.052632,5.903962092979026,2,98,171,7,7,682510
4210-10-0,595.263158,28.97475610077633,5,85,106,3,9,421010
475R-10-0,663.070176,21.07619207639748,5,99,171,5,9,475R10
107T-10-0,799.210527,20.530656797773574,5,94,86,2,9,107T10
175T-10-0,511.578947,24.97122488301658,5,133,171,2,6,175T10
2175-10-0,1427.368421,16.14502114451075,5,58,75,2,9,
609F-10-0,756.842106,23.811649862224986,5,81,171,7,9,609F10
701A-10-0,903.157895,26.449356428916804,5,85,86,2,9,
702C-10-0,911.228071,23.76441475319221,5,84,94,8,9,702C10
702U-10-0,895.263158,18.465174324020225,5,85,91,8,9,702U10
930P-10-0,587.368421,11.897514470304856,5,122,86,3,9,930P10
1741-10-0,673.684211,8.878172866269873,1,98,75,2,2,174110
2460-10-0,900.789473,4.127994112497967,1,97,75,3,3,246010
2583-10-0,1195.263158,19.77020176940414,1,57,78,3,3,258310
6013-10-0,1026.315789,13.34597765937889,1,89,86,7,6,601310
3069-10-0,740.5263160000002,12.83349925241776,1,98,35,4,5,306910
372U-10-0,310.701754,10.274288667446033,1,228,55,4,4,372U10
3746-10-0,694.736842,12.195506684050114,1,121,120,5,9,374610
4003-10-0,1381.578948,10.71145197378896,1,87,75,4,4,400310
6008-10-0,415.263158,10.66870700931956,1,132,47,5,7,
253F-10-0,1350.0,24.817658828597878,3,55,78,3,5,253F10
4310-10-0,320.526316,19.571562537520077,3,287,171,3,9,431010
5105-10-0,222.631579,7.685487557244,3,347,180,5,9,510510
5119-10-0,1007.368421,21.87225550545649,3,88,171,7,9,511910
6200-10-0,513.157895,17.547189082730625,3,195,171,7,9,620010
677A-10-0,791.403509,17.665185322006128,3,133,144,6,7,
6913-10-0,391.754386,29.202723806667837,3,176,186,6,9,691310
857P-10-0,609.210527,18.724501057640765,3,121,171,7,9,857P10
