,Unnamed: 0,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment,slowness
706,706,311C_10_0,2017-04-24,1059.4969137931032,922.7185,655.1081222278407,2570.362800000001,0.6183199910252585,58,4397.300648942665,920.195510730677,4682.414291150933,992.7732807437204,0.2612516776056776,1159.0139471558211,0,5,9,0,984,10373,5187,56,77,36,0,0,1,120,6,27.2,19.5,15.0,66.5,45,0.0,3.111111111111111,0.32142857142857145,0.7452586206896552,4.968390804597702,732.2816810247979,637.7459391303404,6407.469252919452,8245.550371894655,49.74814814814815
707,707,311C_10_0,2017-04-25,1158.139685185185,1045.2890000000002,665.5726572801325,2582.8965499999977,0.5746911756794763,54,4553.9720360184365,1340.2800938330051,4974.440668587917,1402.6243120718698,0.34059054168730885,1566.786803274285,0,5,9,0,984,10373,5187,56,77,36,0,0,1,120,6,28.7,22.2,17.9,67.6,41,0.0,3.111111111111111,0.32142857142857145,0.8004629629629629,5.33641975308642,770.3192090488087,695.2582715259161,7147.384189708595,8959.961530659784,52.09999999999999
708,708,311C_10_0,2017-04-26,1374.177777777778,963.0,1804.2133643029722,2432.9247999999993,1.3129402858053902,45,4405.944570611443,1196.8552044875462,4784.4448349790055,1201.8220992300985,0.3359827626547455,1497.435540024903,0,5,9,0,984,10373,5187,56,77,36,0,0,1,120,6,24.1,20.9,20.8,72.6,60,0.0,3.111111111111111,0.32142857142857145,0.9605555555555556,6.403703703703704,1871.5010939798133,1311.515571454691,7857.768028188919,8419.191734209104,89.75555555555556
709,709,311C_10_0,2017-04-27,1028.113690909091,862.0,602.5515790907946,2044.2268,0.5860748518561203,55,4897.773926013885,1570.7590836697284,5165.75953502088,1806.650578515636,0.2699495182232257,1334.1171294437672,0,5,9,0,984,10373,5187,56,77,36,0,0,1,120,6,20.3,17.5,17.2,82.0,72,10.6,3.111111111111111,0.32142857142857145,0.7859090909090909,5.239393939393938,690.6270091801999,579.0414884825927,7663.037122716718,9016.636913536517,89.41481481481482
710,710,351F_10_0,2017-03-02,1964.7,1298.4340000000002,1618.9061826367786,5408.7,0.8239966318709108,30,5729.975647976897,820.6856460127209,6134.78690986359,1038.6759970782596,0.30536082046529034,1779.6218056060236,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,28.8,25.1,22.8,62.8,48,0.0,3.3571428571428568,0.2978723404255319,1.708139534883721,5.246428571428571,1649.3366209038495,1090.0161582056646,8822.799527845698,12582.162906941849,31.848148148148148
711,711,351F_10_0,2017-03-03,2078.2758620689656,1775.0,1246.2244870553086,4088.39,0.599643439930379,29,6285.174389055035,991.4111705276796,6634.655594502389,1344.1029009848762,0.26382284195326433,1689.7596471762722,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,28.5,22.7,20.3,77.7,54,7.2,3.3571428571428568,0.2978723404255319,1.7670408981555734,5.427339901477833,1412.7831002061414,1206.62037635824,9391.541595693408,12067.148495487263,40.785185185185185
712,712,351F_10_0,2017-03-06,1880.516129032258,1307.0,1199.644410297867,3960.5000000000014,0.6379335926861855,31,6162.802309886645,768.9116805533813,6279.325365562802,1165.1175885050252,0.16951027023600818,1061.37387889375,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,27.9,22.3,20.1,84.2,55,30.0,3.3571428571428568,0.2978723404255319,1.6530382595648911,5.0771889400921655,1322.9047988197385,919.4478820807491,8767.347752887566,11404.94295406783,53.15925925925927
713,713,351F_10_0,2017-03-07,1855.46875,1641.5,964.4476936727286,3571.1500000000005,0.5197865464846706,32,6671.840924303572,923.9836744099127,6867.716632208435,1506.9617256530425,0.199703092324457,1353.7068140130625,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,29.7,22.9,20.0,77.3,42,35.2,3.3571428571428568,0.2978723404255319,1.6013808139534884,4.918526785714286,1178.3878429796264,1042.4986377437276,9553.066200841104,11945.82835786148,51.829629629629615
714,714,351F_10_0,2017-03-08,2356.153846153846,2125.0,1431.0506966681705,5376.0,0.6073672561765006,26,6358.420309163569,887.8529063686032,6700.8855134422765,1003.7540994783176,0.25433297368944635,1650.5028751003076,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,28.5,22.9,16.5,79.7,51,41.6,3.3571428571428568,0.2978723404255319,1.9709302325581397,6.053571428571429,1612.663590619331,1454.4509203675814,9317.303203539925,13080.639612920595,52.96296296296297
715,715,351F_10_0,2017-03-09,2027.166666666667,1719.296,1087.334214679164,3958.8500000000013,0.5363812618659035,30,5863.312382391435,1116.8699261181216,6477.307892457155,1265.3421938160827,0.3710909177696097,2215.748642381149,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,31.1,24.6,20.6,69.5,40,0.0,3.3571428571428568,0.2978723404255319,1.708139534883721,5.246428571428571,1305.1961824031239,1106.9729058394944,9047.84626867636,11701.500086273238,57.551851851851836
