route,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
8528-10-0,3,5,4,2,6,6,2,,4,2,6,4
172Y-10-0,10,12,6,4,3,1,1,1,1,2,1,1
573T-10-0,7,1,2,8,4,4,1,1,4,3,6,2
745M-10-0,2,3,,2,4,1,3,8,3,5,7,5
6006-10-0,1,4,2,4,3,3,1,3,5,7,6,3
2766-10-0,3,2,4,3,3,4,3,1,4,6,3,5
4115-10-0,5,7,3,5,5,3,2,3,3,2,1,2
6291-10-0,4,4,3,2,3,1,5,7,,4,5,3
675V-10-0,10,5,5,3,10,8,,,,,,
709A-10-0,,,4,3,3,7,5,7,1,2,5,4
8677-10-0,7,4,3,1,3,7,2,3,3,3,4,1
1178-31-0,4,2,5,3,3,5,4,1,3,1,4,5
407K-10-0,,3,,,4,6,9,3,3,2,5,5
7903-10-0,2,2,5,4,5,5,4,4,3,1,2,3
9784-10-0,4,1,1,5,5,1,4,3,7,5,2,2
148P-10-0,2,4,1,1,8,6,4,1,6,3,1,2
513L-10-0,2,6,4,6,6,1,3,4,2,2,1,2
8400-10-0,4,6,1,4,6,5,1,2,3,3,2,2
N701-11-0,2,2,4,3,1,4,5,3,3,3,6,3
2583-10-0,2,2,7,4,3,3,4,4,1,5,,3
4732-31-0,8,1,6,3,4,3,,3,1,3,4,2
7458-10-0,6,3,5,3,3,4,4,4,1,2,1,2
967A-10-0,4,3,3,3,4,4,2,6,3,2,3,1
N703-11-0,,,,5,1,2,4,4,9,3,5,5
107T-10-0,2,3,6,4,5,3,1,3,2,4,4,
213C-10-0,7,2,3,1,2,4,4,4,4,3,3,
5107-10-0,3,2,4,4,5,1,3,2,4,2,2,5
5129-10-0,5,,9,1,,3,3,5,2,4,3,2
5178-10-0,6,,5,3,1,6,3,4,3,1,3,2
7550-10-0,5,4,3,2,3,6,3,3,3,3,,2
8215-10-0,5,3,2,2,5,6,3,3,1,4,2,1
1016-10-0,9,9,2,2,5,2,1,3,1,1,1,
263J-10-0,1,3,4,2,3,3,2,1,5,3,6,3
4718-10-0,7,5,2,3,5,,2,3,5,3,1,
574R-10-0,5,4,7,1,1,2,3,,3,5,4,1
675P-10-0,3,3,3,1,3,8,3,2,2,2,4,2
701A-10-0,5,2,2,7,1,2,3,2,5,3,2,2
702U-10-0,5,1,6,4,4,6,1,1,2,1,4,1
8500-10-0,4,6,2,3,3,6,2,3,,4,2,1
888P-10-0,7,3,2,3,6,8,1,,,1,2,3
209P-10-0,2,1,5,1,3,4,2,1,2,8,4,2
3063-10-0,2,4,2,1,3,2,,2,9,3,4,3
748R-10-0,3,3,5,1,3,1,1,7,4,2,3,2
8000-10-0,3,2,2,2,6,5,5,2,3,2,1,2
874T-10-0,5,2,7,3,3,1,4,2,1,3,2,2
9023-10-0,7,1,,4,2,5,4,3,3,3,1,2
9300-10-0,1,3,3,1,4,3,2,2,4,5,7,
106A-10-0,1,3,1,3,3,6,2,4,4,2,5,
172K-10-0,7,1,2,1,2,2,2,5,5,3,3,1
2762-10-0,1,1,2,2,4,4,1,5,4,4,4,2
314V-10-0,5,6,3,4,2,1,1,,1,5,1,5
4288-10-0,8,1,2,,3,3,,6,,6,1,4
475M-10-0,6,2,8,2,5,1,2,2,1,1,2,2
5106-21-0,1,5,4,4,2,4,2,5,3,2,1,1
577T-10-0,3,3,,4,4,4,2,5,1,4,1,3
637P-10-0,4,3,5,,1,4,1,3,4,4,3,2
6825-10-0,3,4,3,4,,4,6,2,1,3,4,
917H-10-0,3,7,1,3,7,2,2,2,3,3,1,
N603-11-0,2,1,1,3,9,6,4,2,2,1,2,1
4727-10-0,5,4,4,2,5,2,2,1,4,2,2,
637J-10-0,,1,3,3,1,3,3,5,6,5,2,1
746P-10-0,6,3,2,1,3,6,,2,2,3,2,3
875A-10-0,1,2,4,3,3,3,2,5,5,3,,2
875H-10-0,4,4,5,4,3,3,1,3,1,2,2,1
9653-10-0,3,5,3,3,2,5,1,2,,1,5,3
N331-11-0,,3,1,3,2,,7,,4,5,3,5
177H-10-0,3,4,1,2,7,1,1,5,2,5,1,
271P-10-0,2,3,3,3,6,7,,,2,3,2,1
273R-10-0,,5,5,3,3,,5,,3,3,4,1
3749-10-0,1,4,5,2,4,1,3,2,2,4,1,3
3902-10-0,5,2,2,2,3,1,6,,2,2,2,5
4002-10-0,,2,,2,2,2,4,2,7,4,2,5
5034-10-0,2,3,5,4,1,5,1,1,2,4,2,2
5106-10-0,1,5,1,3,2,5,3,2,1,4,4,1
5145-10-0,3,7,2,,2,3,1,3,4,3,2,2
5611-10-0,3,5,3,1,4,3,2,1,2,3,1,4
778R-10-0,4,4,4,4,1,2,,3,2,3,3,2
8549-10-0,3,4,2,5,3,5,1,2,,4,1,2
121G-10-0,4,2,3,3,3,4,2,1,1,5,1,2
273J-10-0,2,2,3,2,4,4,5,,4,2,,3
3462-10-0,,2,2,5,4,1,6,4,2,,3,2
364A-10-0,2,1,3,3,2,3,1,3,3,4,1,5
607G-10-0,3,,4,2,4,2,4,5,1,4,2,
6475-10-0,6,1,2,2,3,2,,4,1,4,5,1
7013-10-0,4,1,2,2,3,2,4,2,3,3,5,
8605-10-0,1,5,3,1,6,3,1,3,3,2,2,1
273N-10-0,2,3,1,3,1,,4,2,3,,1,10
2769-10-0,,3,3,5,1,,3,,3,4,4,4
519M-10-0,4,1,1,2,4,1,1,3,1,6,2,4
669A-10-0,3,,2,3,2,2,2,3,5,4,1,3
8055-10-0,3,4,3,5,3,4,2,1,2,1,2,
9191-10-0,1,1,2,6,,8,1,4,3,2,2,
2182-10-0,4,2,2,2,5,2,,,2,4,2,4
373T-10-0,3,1,1,3,2,2,3,2,2,4,,6
675M-10-0,2,4,4,3,2,6,,5,,,2,1
8055-51-0,7,2,3,3,1,3,3,2,2,1,1,1
9501-10-0,1,3,2,5,1,2,8,,2,3,1,1
1017-10-0,7,4,2,,3,2,1,3,2,1,,3
2770-10-0,1,4,2,1,1,2,2,1,2,5,,7
5026-10-0,5,8,2,1,1,3,,1,,4,1,2
6403-10-0,4,3,4,,1,4,4,,4,4,,
746V-10-0,4,5,1,2,2,1,2,4,1,1,2,3
8600-10-0,3,5,1,2,3,1,2,4,2,1,2,2
938C-10-0,5,,,4,2,3,1,1,2,5,4,1
957T-10-0,3,4,2,1,4,3,1,1,1,3,4,1
958P-10-0,3,1,4,1,3,2,2,,1,3,3,5
978J-10-0,4,4,2,,4,2,3,4,2,1,1,1
N705-11-0,,1,1,1,1,3,3,4,1,2,5,6
129F-10-0,3,2,5,2,4,1,3,,,1,1,5
233A-10-0,,3,2,3,3,,3,5,1,2,2,3
307C-10-0,2,1,1,4,6,5,,1,2,1,3,1
4031-10-0,1,2,5,6,2,1,1,1,2,3,3,
5038-10-0,2,1,4,1,5,4,,1,6,1,1,1
546L-10-0,3,2,3,2,2,3,,3,1,2,4,2
607C-10-0,2,3,3,3,3,3,1,,2,,1,6
7267-10-0,7,4,3,2,1,3,,2,2,3,,
775F-31-0,2,5,2,3,2,2,1,1,4,2,2,1
8542-10-0,1,3,,1,1,4,4,1,1,4,4,3
909T-10-0,5,5,5,,2,2,1,1,3,1,2,
930P-10-0,1,1,2,1,1,2,5,4,5,2,1,2
9500-10-0,1,,2,3,3,3,2,1,4,2,3,3
178T-10-0,3,5,5,2,2,,2,3,2,1,1,
5103-10-0,10,1,1,2,1,1,2,,2,1,1,4
5143-10-0,4,1,,1,2,3,6,5,2,,1,1
6250-10-0,4,4,2,,6,2,2,2,1,2,,1
8012-10-0,2,3,6,2,3,2,,3,2,1,2,
8072-10-0,1,2,1,4,2,8,3,3,,,,2
8075-10-0,3,,5,,4,2,3,5,3,,,1
847J-10-0,,2,1,4,3,3,2,3,4,3,,1
971C-10-0,2,2,1,3,8,3,2,1,,2,1,1
199D-10-0,3,2,4,2,6,4,,1,1,2,,
2460-10-0,7,7,7,,,1,1,,1,1,,
274P-10-0,1,1,2,,5,3,1,4,1,2,2,3
3032-10-0,2,1,2,,4,6,2,3,2,1,1,1
3139-31-0,,1,3,4,3,,,2,3,3,3,3
5036-10-0,4,1,4,2,3,2,1,2,1,2,3,
524M-10-0,1,1,3,2,2,3,3,3,1,4,1,1
5614-10-0,2,,1,,4,2,2,2,5,5,,2
6014-10-0,2,1,5,,1,2,,2,3,4,3,2
695V-10-0,1,3,4,1,2,4,3,2,1,2,1,1
8040-10-0,4,3,1,3,4,1,3,,3,2,1,
128Y-10-0,3,2,3,3,2,1,,5,2,3,,
3761-10-0,,,,1,3,1,2,1,2,6,3,5
4222-10-0,2,4,5,2,2,3,,2,1,,1,2
4716-10-0,3,3,,3,1,3,5,3,,2,,1
5105-10-0,2,,3,1,1,4,2,4,4,2,,1
607M-10-0,1,1,4,1,1,5,2,2,1,2,,4
6818-10-0,3,4,2,3,1,2,,6,2,1,,
709M-10-0,3,,2,,4,3,2,2,1,3,,4
7281-10-0,3,4,1,1,2,2,3,1,2,2,1,2
978L-10-0,3,2,1,1,4,7,1,,2,2,,1
172N-10-0,2,2,4,1,1,1,1,4,1,2,3,1
2127-10-0,,3,3,2,3,2,1,3,2,1,2,1
273D-10-0,4,3,1,1,3,1,3,2,2,,,3
3112-10-0,,2,2,1,1,1,1,2,2,3,3,5
3539-10-0,1,4,,1,4,1,1,1,3,3,2,2
3763-10-0,4,,,1,1,1,1,1,,6,4,4
4027-10-0,5,3,4,3,2,,4,,,1,,1
5034-31-0,5,3,1,2,1,3,,2,4,1,,1
514T-10-0,3,2,3,2,4,3,2,1,,,2,1
573H-10-0,3,,4,2,3,2,,3,1,1,2,2
637A-21-0,2,3,1,,,3,5,4,1,,1,3
701U-10-0,3,2,2,1,,4,3,,3,1,2,2
7181-10-0,2,5,5,1,1,3,,1,4,,1,
8018-10-0,5,1,,1,4,3,3,3,,1,1,1
847P-10-0,5,4,2,2,4,1,,1,,2,2,
9050-10-0,3,5,2,1,4,2,1,3,,,2,
978T-10-0,3,4,4,1,1,,2,2,,3,3,
N507-11-0,1,3,1,2,4,1,2,2,5,1,,1
N801-11-0,2,4,,5,4,2,1,2,,,,3
1732-10-0,3,4,1,3,2,2,3,,1,2,1,
2031-10-0,,3,,1,5,1,4,,2,1,3,2
374M-10-0,2,3,1,2,,,2,2,3,2,2,3
407J-10-0,2,2,,,1,3,1,4,2,5,2,
4221-10-0,5,1,1,2,3,2,1,2,1,1,2,1
4706-10-0,3,1,4,1,3,1,1,1,2,2,1,2
5021-10-0,2,4,1,,2,1,2,2,4,,2,2
675A-10-0,2,2,1,2,3,3,2,1,1,2,1,2
8010-10-0,3,2,2,5,1,,,,4,2,2,1
809V-10-0,,1,3,3,,2,2,1,4,2,3,1
8545-10-0,2,1,1,1,6,2,1,2,1,1,2,2
8696-10-0,,2,,1,4,2,2,,4,5,,2
N706-11-0,,2,1,1,3,1,3,3,4,2,1,1
179X-10-0,4,1,2,,1,4,4,2,1,,2,
273L-10-0,1,1,1,2,3,1,2,,2,2,4,2
2756-10-0,1,3,3,2,1,2,2,2,2,1,2,
5175-10-0,4,2,1,1,2,2,1,,4,1,,3
517J-10-0,1,1,2,,1,4,,1,1,4,2,4
6001-10-0,5,2,3,3,,2,,,1,2,2,1
6015-10-0,,2,1,2,,2,2,2,4,2,3,1
7021-10-0,1,1,1,1,4,2,2,2,2,1,1,3
746K-10-0,2,,1,3,1,3,,3,3,,5,
8015-10-0,2,2,1,1,3,2,3,,2,1,4,
8022-10-0,3,4,1,3,1,3,,1,,2,3,
809L-10-0,4,1,5,,1,3,,2,1,2,2,
975A-10-0,4,,5,2,1,2,2,1,,,3,1
1720-10-0,,2,,3,3,2,1,3,1,1,2,2
278A-10-0,,1,3,1,,,1,2,5,2,3,2
5029-10-0,1,3,2,3,2,3,2,3,,,,1
5290-10-0,3,2,2,,1,2,,2,5,,3,
574C-10-0,2,,,2,3,2,2,3,2,3,,1
647P-10-0,4,3,1,2,3,,,1,1,1,2,2
6824-10-0,2,,3,2,,2,,2,,6,2,1
707K-10-0,,,,,,,2,2,4,6,4,2
719P-10-0,1,3,3,1,1,1,1,1,2,4,2,
807A-10-0,2,2,2,2,1,3,3,,1,2,2,
N702-11-0,2,1,2,1,3,2,1,1,,2,1,4
172P-10-0,3,2,,1,5,2,1,,2,2,,1
172R-10-0,,2,3,6,1,3,2,1,,1,,
2772-10-0,2,1,,1,,1,3,2,4,1,3,1
4029-10-0,1,3,1,,1,,1,3,1,3,3,2
4732-10-0,1,4,5,2,,2,1,,1,1,1,1
5110-41-0,1,1,4,1,2,4,,1,,3,1,1
6414-10-0,1,2,1,3,2,1,1,5,1,,1,1
6836-10-0,1,3,,1,2,4,3,1,1,1,,2
7059-10-0,,1,,,1,2,5,3,2,3,1,1
746H-10-0,1,4,4,2,,1,,1,2,3,,1
775P-10-0,3,1,2,,2,4,1,3,,1,1,1
908T-10-0,,3,2,,1,1,1,,1,3,4,3
9301-10-0,1,4,4,1,2,2,1,,1,,2,1
N505-11-0,,2,,3,2,2,3,1,1,2,3,
N742-11-0,1,2,1,3,2,2,1,2,2,2,1,
172U-10-0,4,,1,,3,,1,,4,3,1,1
211L-10-0,2,1,3,2,4,2,,,,1,1,2
213C-31-0,2,3,2,,2,,,1,2,2,1,3
2767-10-0,,,2,,,3,1,2,3,1,3,3
2780-10-0,1,5,4,3,2,,2,1,,,,
3046-10-0,,1,2,1,1,3,1,1,3,3,1,1
4725-10-0,3,1,4,3,1,,1,1,,2,1,1
508L-10-0,,1,2,,1,1,2,,3,3,4,1
7245-10-0,2,,1,2,,3,3,1,4,2,,
7272-10-0,2,,4,1,2,1,1,2,2,1,1,1
7411-10-0,5,2,3,,2,3,,1,1,,,1
877T-10-0,,1,1,2,2,3,,2,2,1,2,2
N206-11-0,3,3,2,2,1,4,2,1,,,,
N504-11-0,,,1,2,1,1,3,4,,3,3,
N733-11-0,,,,1,,3,3,2,3,2,3,1
1206-10-0,3,1,1,,1,1,,4,2,2,2,
1702-10-0,2,3,2,,3,2,,2,1,2,,
172J-10-0,3,3,2,2,3,1,,1,1,1,,
3033-10-0,2,1,3,,1,4,1,2,1,1,1,
351F-10-0,2,,1,3,1,1,,2,1,1,2,3
3901-10-0,2,2,,1,2,2,2,,3,1,1,1
6019-10-0,7,1,,,,2,3,2,2,,,
6358-10-0,2,3,1,1,,3,,,1,1,3,2
6422-10-0,2,,1,2,3,2,1,1,1,,1,3
6820-10-0,3,1,1,3,,1,3,2,1,,1,1
8016-10-0,1,2,,2,3,,2,,1,2,4,
817C-10-0,,3,3,3,1,1,,2,,,3,1
819R-10-0,5,2,3,6,1,,,,,,,
8548-10-0,1,1,4,1,3,3,1,,1,1,,1
857C-10-0,4,,,2,2,1,2,1,1,2,1,1
8696-41-0,1,,2,1,1,1,3,3,1,,4,
N343-11-0,,,,2,4,1,,4,1,2,1,2
N502-11-0,,1,1,2,,2,1,4,2,2,,2
N842-11-0,,1,3,1,2,2,1,1,2,,2,2
178A-10-0,1,1,3,,2,2,2,,3,2,,
2523-10-0,1,5,3,,1,1,,1,2,1,1,
2628-10-0,,2,2,2,,1,8,1,,,,
271A-10-0,3,,,1,4,3,,2,2,1,,
271F-10-0,1,1,3,2,2,,,1,2,1,2,1
3098-10-0,3,2,2,2,1,2,,1,,2,1,
3773-10-0,,1,1,2,1,1,1,,2,2,2,3
4001-10-0,2,3,,,1,3,1,,3,1,1,1
4708-10-0,3,3,1,1,3,2,,1,1,,1,
5370-21-0,1,1,2,1,,2,1,3,2,1,1,1
6804-10-0,4,2,1,1,1,,1,,,3,,3
8002-10-0,4,,2,2,2,,2,,,,3,1
805L-10-0,1,1,1,3,2,,,1,4,,2,1
807P-10-0,6,1,1,1,2,3,,,,1,,1
917M-10-0,1,1,,1,3,,2,1,2,3,1,1
N602-11-0,2,1,1,2,2,,3,1,,2,1,1
1020-10-0,,,,,,2,2,5,2,1,3,
118C-10-0,2,,4,2,1,1,,1,1,3,,
1709-10-0,1,2,2,3,3,1,1,1,,,1,
2290-21-0,1,1,1,1,,1,2,3,,1,3,1
263C-10-0,,4,,1,2,1,4,1,2,,,
3161-10-0,3,,1,,3,1,1,1,1,3,1,
4030-10-0,1,,4,1,3,1,2,,2,,1,
4491-10-0,,1,2,2,1,3,2,1,1,1,1,
5100-10-0,7,1,,1,1,2,1,,,2,,
6022-10-0,,3,,2,3,,,2,3,,1,1
6049-10-0,3,2,1,1,2,,2,2,2,,,
7012-10-0,1,3,1,1,,,,1,3,2,1,2
709P-10-0,3,2,2,,,1,,,1,4,,2
778J-10-0,1,,1,1,1,2,,3,,1,3,2
8004-10-0,3,1,2,,,5,,,1,,2,1
8006-10-0,2,3,3,2,,,,1,,2,1,1
8047-10-0,3,4,1,,1,1,,,,1,3,1
848L-10-0,,2,,1,1,2,1,2,1,2,3,
N304-11-0,1,,2,1,3,1,3,1,1,2,,
N306-11-0,,,,,1,4,3,1,1,4,,1
1156-10-0,1,1,3,,2,1,1,,1,1,2,1
178Y-10-0,5,4,,1,2,,,,1,,1,
209P-1-0,1,2,3,1,1,3,1,1,1,,,
2501-10-0,2,5,2,1,1,2,,1,,,,
2726-10-0,,1,,,,2,3,,3,1,1,3
373M-10-0,4,2,1,3,,1,,1,1,,,1
