route,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
N402-11-0,,,,1,,,1,,,,,
N432-11-0,,1,,,1,,,,,,,
N437-11-0,1,,,,1,,,,,,,
N439-11-0,,,,,,1,1,,,,,
N508-11-0,,,,,,1,,,,,1,
N537-11-0,,,,,1,,1,,,,,
N604-11-0,,,,1,,,1,,,,,
N740-11-0,,,,1,1,,,,,,,
N743-11-0,1,,,,,,,,,1,,
N833-11-0,,,,,,,,,1,1,,
N841-11-0,,1,1,,,,,,,,,
1018-10-0,,,,,1,,,,,,,
1021-10-0,,,,1,,,,,,,,
1034-10-0,,,,,,,1,,,,,
1177-42-0,,,,,1,,,,,,,
1178-42-0,,1,,,,,,,,,,
1709-21-0,,1,,,,,,,,,,
172N-21-0,,1,,,,,,,,,,
1744-10-0,,,,,,,,,1,,,
2007-10-0,,,1,,,,,,,,,
2008-41-0,,,,,,,,,,1,,
2009-10-0,1,,,,,,,,,,,
2021-10-0,,,,,,,,,,,,1
2025-10-0,,,,,1,,,,,,,
2033-10-0,,,,,,,1,,,,,
2079-10-0,1,,,,,,,,,,,
2582-21-0,1,,,,,,,,,,,
2702-21-0,,,,,,,,,,1,,
2704-10-0,,1,,,,,,,,,,
2705-10-0,,,,,,,,1,,,,
2710-31-0,,,,,,,1,,,,,
2716-10-0,,,,,,,1,,,,,
271A-51-0,1,,,,,,,,,,,
2724-10-0,,,,,,,,,1,,,
2733-10-0,1,,,,,,,,,,,
2735-21-0,,,,,,1,,,,,,
273N-41-0,,,1,,,,,,,,,
3015-10-0,,,,,,,,,,,1,
3020-31-0,,,,1,,,,,,,,
3718-10-0,,1,,,,,,,,,,
3732-10-0,,,1,,,,,,,,,
3737-31-0,,,,,,,,,,,1,
3751-21-0,,,,,,,,,,,1,
3768-10-0,,,,,,,,,1,,,
4003-10-0,,,,,1,,,,,,,
4004-10-0,,,,,1,,,,,,,
4015-10-0,,,,,,,,,,,,1
4016-10-0,,,,,,1,,,,,,
4017-10-0,,,,,,,,,,1,,
4053-10-0,,,1,,,,,,,,,
4055-10-0,,,,,,,,,1,,,
4056-10-0,,1,,,,,,,,,,
407T-10-0,,,,,,,,,,,1,
4086-10-0,,,,,,,,,1,,,
4310-21-0,,,,,,,,1,,,,
4314-21-0,,1,,,,,,,,,,
4726-10-0,,1,,,,,,,,,,
476L-10-0,,,,,,,1,,,,,
5022-10-0,,,,,,1,,,,,,
5024-31-0,,,,,,,,,,,,1
5025-10-0,,1,,,,,,,,,,
5178-21-0,,,,,1,,,,,,,
5194-21-0,,,,,,,1,,,,,
546A-10-0,,,,,,,1,,,,,
5652-22-0,,,,,,,,,,,,1
574A-21-0,,,,,1,,,,,,,
5791-21-0,,,,,,1,,,,,,
6000-24-0,,1,,,,,,,,,,
6016-10-0,,,,,,,1,,,,,
6027-10-0,,,,,,,,,,,,1
6031-10-0,,,,,,,,,,,,1
6035-21-0,,,,1,,,,,,,,
6042-21-0,,1,,,,,,,,,,
6044-10-0,,,,,,,,1,,,,
6045-10-0,,,,,,1,,,,,,
6045-21-0,1,,,,,,,,,,,
6051-10-0,,,,,,,1,,,,,
6051-31-0,,,,,,,1,,,,,
6052-31-0,,,,,,,,,,,1,
6056-10-0,,,,,,,,1,,,,
6057-10-0,,,,,,,,,,,1,
6062-10-0,,,,,,,,,,1,,
6063-41-0,,,,,,,,,1,,,
6063-42-0,,,,,,,,1,,,,
6063-43-0,,,,1,,,,,,,,
6075-10-0,,,1,,,,,,,,,
6076-41-0,,,,,,,,,,,,1
607A-21-0,,,,,1,,,,,,,
6367-10-0,,,,,,,,,,,,1
6450-51-0,,,,,,,,,,,1,
6801-51-0,,,,,,,1,,,,,
6813-10-0,,,,,,,,,,,,1
695Y-41-0,,1,,,,,,,,,,
6L01-10-0,,,,,,,1,,,,,
6L03-10-0,,,,,1,,,,,,,
6L05-10-0,,,1,,,,,,,,,
7009-10-0,,,,,,,,,1,,,
7051-10-0,,,,,,,,1,,,,
7057-10-0,,,,1,,,,,,,,
714C-10-0,,,,1,,,,,,,,
745M-21-0,,,,,,,,,,,1,
746P-31-0,,,,,,,,1,,,,
756A-21-0,1,,,,,,,,,,,
8015-21-0,,,,,,,,,,,1,
8017-10-0,,,,,,,,,1,,,
8047-51-0,,,,,,1,,,,,,
8252-10-0,,,,,,,,,,,,1
857P-21-0,,,,,,,,,,,1,
8622-31-0,1,,,,,,,,,,,
8622-42-0,1,,,,,,,,,,,
8686-10-0,,,,,,,,1,,,,
8700-10-0,,,,,,,,,,1,,
9005-41-0,,,,,,,,,,,,1
9011-21-0,,,,,,1,,,,,,
9018-10-0,,1,,,,,,,,,,
9166-10-0,,,,,,,,,,,1,
9188-42-0,,,,,,1,,,,,,
971R-21-0,,,,,1,,,,,,,
971R-42-0,,,1,,,,,,,,,
N137-11-0,,,,,,,,,,,,1
N141-11-0,1,,,,,,,,,,,
N203-11-0,,,,,,,,,1,,,
N233-11-0,,,,,1,,,,,,,
N235-11-0,,,,,,,,,,,,1
N243-11-0,,,,,1,,,,,,,
N244-11-0,,,,1,,,,,,,,
N433-11-0,1,,,,,,,,,,,
N440-11-0,,,,,1,,,,,,,
N534-11-0,,1,,,,,,,,,,
N636-11-0,,,,,,,,,,1,,
N638-11-0,1,,,,,,,,,,,
N737-11-0,,,,,,,,,,,,1
N738-11-0,,,,,1,,,,,,,
N838-11-0,,,,,,1,,,,,,
