linhas,headway,cross
6073-10-0,802.105263,True
6074-10-0,615.789474,True
6075-10-0,609.4736839999999,True
6076-10-0,637.894737,True
6078-10-0,416.842105,True
607A-10-0,697.894737,True
607C-10-0,540.0,True
607G-10-0,1240.0,True
607M-10-0,868.4210529999999,True
6080-10-0,678.947368,True
6083-10-0,540.0,True
6084-10-0,644.210526,True
6091-10-0,618.947368,True
6092-10-0,1278.9473679999999,True
6093-10-0,606.315789,True
6099-10-0,1263.1578949999998,True
609F-10-0,773.684211,True
6110-10-0,647.368421,True
6115-10-0,445.26315800000003,True
6116-10-0,600.0,True
6118-10-0,742.105263,True
6120-10-0,562.105263,True
6200-10-0,461.052632,True
6232-10-0,1966.6666670000002,True
6250-10-0,1626.315789,True
6258-10-0,464.21052599999996,True
6262-10-0,1023.1578949999999,True
6291-10-0,1177.8947369999999,True
6358-10-0,1152.6315789999999,True
637A-10-0,448.42105300000003,True
637G-10-0,934.736842,True
637J-10-0,1370.526316,True
637P-10-0,641.052632,True
637R-10-0,590.5263160000001,True
637V-10-0,1117.8947369999999,True
6400-10-0,1009.4117650000001,True
6403-10-0,900.0,True
6414-10-0,884.210526,True
6422-10-0,1076.8421050000002,True
6450-10-0,464.21052599999996,True
6451-10-0,555.789474,True
6455-10-0,701.052632,True
6475-10-0,1080.0,True
647A-10-0,1070.526316,True
647C-10-0,1285.263158,True
647P-10-0,1029.473684,True
648P-10-0,1080.0,True
6500-10-0,615.789474,True
6505-10-0,574.736842,True
669A-10-0,596.842105,True
675A-10-0,934.736842,True
675G-10-0,909.4736839999999,True
675I-10-0,688.421053,True
675L-10-0,720.0,True
675M-10-0,1443.1578949999998,True
675P-10-0,1222.1052630000001,True
675R-10-0,1348.421053,True
675X-10-0,495.78947400000004,True
677A-10-0,789.4736839999999,True
677Y-10-0,637.894737,True
6801-10-0,669.4736839999999,True
6803-10-0,852.6315789999999,True
6804-10-0,757.894737,True
6805-10-0,1001.052632,True
6806-10-0,925.263158,True
6812-10-0,776.842105,True
6813-10-0,1086.315789,True
6815-10-0,1007.3684210000001,True
6816-10-0,1310.526316,True
6817-10-0,1086.315789,True
6818-10-0,865.263158,True
6820-10-0,726.315789,True
6821-10-0,745.263158,True
6822-10-0,732.631579,True
6823-10-0,1247.3684210000001,True
6824-10-0,988.4210529999999,True
6825-10-0,761.052632,True
6826-10-0,944.210526,True
6835-10-0,1117.8947369999999,True
6836-10-0,941.052632,True
6837-10-0,694.736842,True
6840-10-0,410.526316,True
695D-10-0,1326.315789,True
695H-10-0,963.1578949999999,True
695T-10-0,454.73684199999997,True
695V-10-0,1064.210526,True
695X-10-0,483.157895,True
695Y-10-0,650.5263160000001,True
6960-10-0,467.368421,True
6970-10-0,476.842105,True
6L01-10-0,1357.8947369999999,True
6L02-10-0,3600.0,True
6L03-10-0,3200.0,True
6L04-10-0,1687.5,True
6L05-10-0,1089.473684,True
6L07-10-0,1894.7368420000003,True
6L08-10-0,1515.789474,True
6L10-10-0,2557.894737,True
6L11-10-0,1800.0,True
7001-10-0,397.894737,True
7004-10-0,483.157895,True
7012-10-0,862.105263,True
7013-10-0,1061.0526320000001,True
7016-10-0,581.052632,True
701U-10-0,966.3157890000001,True
7021-10-0,1095.789474,True
7022-10-0,748.421053,True
7023-10-0,565.263158,True
702U-10-0,830.5263160000001,True
7040-10-0,530.5263160000001,True
7049-10-0,593.684211,True
7050-10-0,840.0,True
7051-10-0,720.0,True
7052-10-0,505.26315800000003,True
7053-10-0,303.157895,True
7054-10-0,565.263158,True
7055-10-0,606.315789,True
7057-10-0,707.368421,True
7059-10-0,1057.8947369999999,True
7060-10-0,1143.1578949999998,True
7062-10-0,508.42105300000003,True
7063-10-0,378.94736800000004,True
707A-10-0,660.0,True
709G-10-0,1364.210526,True
709P-10-0,855.789474,True
715M-10-0,1143.1578949999998,True
7181-10-0,1373.333333,True
719P-10-0,1160.0,True
719R-10-0,1386.315789,True
7245-10-0,1386.315789,True
736G-10-0,827.368421,True
736I-10-0,404.21052599999996,True
737A-10-0,555.789474,True
7458-10-0,1010.5263160000001,True
745M-10-0,568.421053,True
746H-10-0,574.736842,True
746P-10-0,609.4736839999999,True
