route,headway_scheduled,distance,route_type,num_trips_day,capacity
675I-10-0,688.421053,18.114553463541945,3,107,171
6820-10-0,726.315789,5.253583720004062,2,107,86
4010-10-0,1800.0,10.502870919237704,2,49,75
271A-10-0,780.0,13.810933596840496,0,100,86
3712-10-0,549.4736839999998,6.71613973589935,0,134,37
9006-10-0,647.368421,3.7467633375220086,2,132,35
2762-10-0,862.105263,18.717194886874328,2,104,80
4734-10-0,325.2631580000001,7.942214499439685,2,238,55
8194-10-0,865.263158,20.093205994409825,2,87,35
6805-10-0,1001.052632,5.376413646562491,2,77,134
5370-10-0,492.631579,29.786629662948357,3,146,143
6041-10-0,385.263158,12.958589188854155,0,139,54
5012-10-0,416.842105,14.533475907146276,2,143,38
6056-10-0,318.9473680000001,6.531729216270704,1,172,54
2203-10-0,952.941176,11.888855631856707,2,65,35
2523-10-0,1168.421053,7.211493994398107,1,94,75
8544-10-0,2210.526316,26.02697374482439,4,32,77
478P-10-0,1010.526316,26.13582346096872,0,73,93
8542-10-0,1061.052632,21.912168232418917,4,75,77
5108-10-0,577.894737,17.391173687918943,4,126,171
2100-10-0,429.473684,15.093085964398062,4,118,86
106A-10-0,470.526316,15.845053406832188,5,134,171
2088-10-0,1500.0,19.286383923945074,1,49,75
5107-10-0,666.315789,10.190005053687601,3,135,100
6015-10-0,641.052632,17.221992443824096,2,116,35
737A-10-0,555.789474,9.237881326434124,3,154,171
9018-10-0,675.789474,2.0345236000080216,2,118,35
5759-10-0,887.3684210000001,12.255663521039068,2,71,35
9008-10-0,461.052632,8.212760727970633,2,162,35
271P-10-0,1042.105263,16.542648817678195,4,77,75
172K-10-0,742.105263,19.181636723196018,0,117,75
1759-10-0,710.5263160000002,8.888353062561519,2,103,75
1758-10-0,770.5263160000002,9.87946000519804,2,102,75
2011-10-0,628.421053,12.84145885268412,2,119,86
2769-10-0,1357.894737,26.502782163525183,2,75,81
3901-10-0,1383.333333,11.067519149100695,2,50,75
809U-10-0,1093.333333,14.34932927821704,0,62,86
179X-10-0,874.736842,23.043504324515744,0,96,75
1178-10-0,836.842105,31.385976642409616,4,84,168
5024-10-0,612.631579,10.708747397942032,0,95,35
7458-10-0,1010.526316,21.86570463059794,0,73,86
3024-10-0,1231.578947,9.307764688460736,2,60,75
6825-10-0,761.052632,5.903962092979026,2,98,171
4210-10-0,595.263158,28.97475610077633,5,85,106
475R-10-0,663.070176,21.076192076397476,5,99,171
107T-10-0,799.210527,20.530656797773577,5,94,86
175T-10-0,511.578947,24.97122488301658,5,133,171
2175-10-0,1427.368421,16.14502114451075,5,58,75
609F-10-0,756.842106,23.811649862224986,5,81,171
701A-10-0,903.157895,26.4493564289168,5,85,86
702C-10-0,911.228071,23.764414753192206,5,84,94
702U-10-0,895.263158,18.465174324020225,5,85,91
930P-10-0,587.368421,11.897514470304854,5,122,86
1741-10-0,673.684211,8.878172866269873,1,98,75
2460-10-0,900.789473,4.127994112497967,1,97,75
2583-10-0,1195.263158,19.77020176940414,1,57,78
6013-10-0,1026.315789,13.34597765937889,1,89,86
3069-10-0,740.526316,12.83349925241776,1,98,35
372U-10-0,310.701754,10.274288667446031,1,228,55
3746-10-0,694.736842,12.195506684050113,1,121,120
4003-10-0,1381.578948,10.71145197378896,1,87,75
6008-10-0,415.263158,10.66870700931956,1,132,47
253F-10-0,1350.0,24.817658828597878,3,55,78
4310-10-0,320.526316,19.57156253752008,3,287,171
5105-10-0,222.631579,7.685487557244001,3,347,180
5119-10-0,1007.368421,21.872255505456483,3,88,171
6200-10-0,513.157895,17.547189082730625,3,195,171
677A-10-0,791.403509,17.66518532200613,3,133,144
6913-10-0,391.754386,29.202723806667834,3,176,186
857P-10-0,609.210527,18.724501057640765,3,121,171

