data,hora_utc,temp_hora_celsius,umidade_perc,pressao_hPa,veloc_vento_ms,dir_vento_ms,nebulosidade_decimos,insolacao_h,temp_max_Diaria_h,temp_min_diaria_h,chuva_diaria_mm,
06/03/2017,1200,24.0,76.0,924.0,2.3,23.0,9.0,,,19.8,31.0,
06/03/2017,1800,22.1,95.0,923.2,1.8,18.0,10.0,,,,,
07/03/2017,0000,21.6,91.0,924.5,2.3,23.0,8.0,6.40,29.2,,,
07/03/2017,1200,23.2,82.0,926.4,1.6,14.0,8.0,,,15.6,36.8,
07/03/2017,1800,27.3,68.0,923.9,5.0,23.0,10.0,,,,,
08/03/2017,0000,20.8,88.0,926.2,2.6,23.0,10.0,2.60,28.2,,,
08/03/2017,1200,22.0,89.0,926.2,1.6,9.0,10.0,,,15.6,43.6,
08/03/2017,1800,27.1,61.0,924.2,3.6,9.0,10.0,,,,,
09/03/2017,0000,22.8,84.0,925.7,3.0,14.0,10.0,9.30,30.7,,,
09/03/2017,1200,23.1,79.0,925.4,1.6,14.0,8.0,,,18.6,0.0,
09/03/2017,1800,30.6,51.0,922.4,2.0,14.0,6.0,,,,,
10/03/2017,0000,25.6,79.0,922.7,1.3,18.0,0.0,6.90,31.0,,,
10/03/2017,1200,26.0,70.0,925.7,0.0,0.0,10.0,,,20.5,0.0,
10/03/2017,1800,30.1,55.0,923.2,2.5,14.0,10.0,,,,,
11/03/2017,0000,23.0,85.0,926.0,2.0,14.0,10.0,5.40,30.6,,,
11/03/2017,1200,25.0,79.0,926.5,1.6,32.0,7.0,,,20.4,4.6,
11/03/2017,1800,30.2,58.0,924.4,2.5,32.0,10.0,,,,,
12/03/2017,0000,24.4,79.0,925.7,2.5,32.0,10.0,10.20,31.5,,,
12/03/2017,1200,25.0,78.0,925.0,0.7,14.0,0.0,,,20.3,0.0,
12/03/2017,1800,31.2,36.0,922.6,3.0,14.0,7.0,,,,,
13/03/2017,0000,28.1,58.0,921.4,1.6,14.0,0.0,0.00,28.1,,,
13/03/2017,1200,23.8,76.0,925.8,1.6,14.0,10.0,,,20.6,0.0,
13/03/2017,1800,25.2,66.0,924.6,4.1,18.0,10.0,,,,,
14/03/2017,0000,21.8,86.0,925.8,2.5,18.0,10.0,1.10,25.8,,,
14/03/2017,1200,21.2,88.0,927.5,3.3,14.0,10.0,,,18.6,0.0,
14/03/2017,1800,25.5,72.0,925.0,4.5,14.0,7.0,,,,,
15/03/2017,0000,21.0,92.0,927.0,2.6,23.0,10.0,4.60,28.4,,,
15/03/2017,1200,22.4,82.0,927.6,3.3,18.0,8.0,,,18.8,3.2,
15/03/2017,1800,28.1,58.0,925.1,2.5,18.0,9.0,,,,,
16/03/2017,0000,23.6,79.0,925.5,3.3,14.0,10.0,10.20,30.2,,,
16/03/2017,1200,24.8,69.0,926.0,1.6,5.0,2.0,,,18.4,0.0,
16/03/2017,1800,29.7,46.0,923.6,3.3,32.0,8.0,,,,,
17/03/2017,0000,26.2,64.0,924.2,1.6,32.0,4.0,6.10,29.2,,,
17/03/2017,1200,26.6,64.0,925.4,1.6,32.0,6.0,,,18.8,0.0,
17/03/2017,1800,24.0,83.0,923.7,3.3,18.0,10.0,,,,,
18/03/2017,0000,20.3,93.0,927.3,2.5,23.0,10.0,0.00,21.9,,,
18/03/2017,1200,20.6,88.0,927.5,2.6,18.0,10.0,,,17.2,18.6,
18/03/2017,1800,19.0,93.0,926.8,4.3,23.0,10.0,,,,,
19/03/2017,0000,18.6,93.0,929.8,5.0,14.0,10.0,0.00,19.5,,,
19/03/2017,1200,18.4,89.0,928.1,1.6,9.0,10.0,,,15.5,0.6,
19/03/2017,1800,18.8,88.0,926.9,2.5,18.0,10.0,,,,,
20/03/2017,0000,18.6,89.0,928.1,3.0,14.0,10.0,5.10,24.8,,,
20/03/2017,1200,20.8,68.0,929.8,3.6,14.0,10.0,,,16.5,0.2,
20/03/2017,1800,23.0,62.0,927.8,4.1,14.0,9.0,,,,,
21/03/2017,0000,18.0,79.0,928.1,3.3,14.0,10.0,7.60,25.5,,,
21/03/2017,1200,19.0,80.0,931.2,2.5,14.0,10.0,,,14.3,0.0,
21/03/2017,1800,24.5,59.0,928.8,3.3,18.0,9.0,,,,,
22/03/2017,0000,19.3,81.0,930.5,4.1,14.0,10.0,10.40,27.0,,,
22/03/2017,1200,20.0,76.0,931.7,3.3,14.0,3.0,,,14.2,0.0,
22/03/2017,1800,26.0,58.0,927.8,4.5,14.0,6.0,,,,,
23/03/2017,0000,20.5,81.0,929.4,3.0,23.0,7.0,7.00,27.3,,,
23/03/2017,1200,20.6,73.0,929.3,3.3,36.0,6.0,,,14.4,0.0,
23/03/2017,1800,27.0,52.0,925.6,1.6,14.0,7.0,,,,,
24/03/2017,0000,21.0,80.0,926.5,2.5,18.0,10.0,7.00,28.7,,,
24/03/2017,1200,20.4,76.0,926.6,1.0,14.0,1.0,,,16.0,0.0,
24/03/2017,1800,28.3,46.0,923.4,3.0,32.0,9.0,,,,,
25/03/2017,0000,21.4,87.0,924.7,1.3,32.0,8.0,5.80,27.0,,,
25/03/2017,1200,22.8,73.0,925.0,0.0,0.0,3.0,,,17.9,8.0,
25/03/2017,1800,24.4,71.0,924.2,2.5,14.0,10.0,,,,,
26/03/2017,0000,20.7,77.0,924.3,2.1,14.0,3.0,8.10,26.3,,,
26/03/2017,1200,21.0,79.0,926.7,2.0,14.0,8.0,,,16.5,1.0,
26/03/2017,1800,25.2,57.0,924.3,3.0,14.0,10.0,,,,,
27/03/2017,0000,20.4,75.0,925.6,3.3,23.0,1.0,0.20,24.5,,,
27/03/2017,1200,20.0,78.0,927.5,2.5,14.0,10.0,,,16.5,0.0,
27/03/2017,1800,24.4,60.0,925.2,3.3,14.0,10.0,,,,,
28/03/2017,0000,20.0,83.0,925.4,3.3,14.0,10.0,7.30,26.1,,,
28/03/2017,1200,21.7,63.0,927.7,1.6,14.0,7.0,,,16.9,0.0,
28/03/2017,1800,25.1,67.0,926.2,4.5,36.0,6.0,,,,,
29/03/2017,0000,20.0,78.0,927.2,4.1,36.0,6.0,9.30,24.8,,,
29/03/2017,1200,20.2,55.0,928.2,2.5,14.0,5.0,,,16.0,0.0,
29/03/2017,1800,24.4,50.0,926.1,4.0,18.0,7.0,,,,,
30/03/2017,0000,18.7,80.0,926.5,4.1,18.0,10.0,7.00,25.0,,,
30/03/2017,1200,19.9,72.0,927.9,2.3,14.0,8.0,,,15.3,0.0,
30/03/2017,1800,24.3,58.0,925.7,4.1,14.0,8.0,,,,,
31/03/2017,0000,18.1,77.0,928.2,1.6,18.0,5.0,7.40,23.2,,,
31/03/2017,1200,20.2,70.0,928.8,1.6,14.0,10.0,,,15.8,0.0,
31/03/2017,1800,21.3,60.0,928.1,3.3,18.0,10.0,,,,,
01/04/2017,0000,17.6,79.0,930.4,3.3,14.0,10.0,7.10,23.9,,,
01/04/2017,1200,19.0,84.0,930.0,3.3,14.0,7.0,,,16.0,0.0,
01/04/2017,1800,22.7,58.0,928.5,5.0,18.0,7.0,,,,,
02/04/2017,0000,18.0,79.0,929.6,3.0,23.0,9.0,6.50,25.2,,,
02/04/2017,1200,17.0,93.0,928.1,2.6,18.0,10.0,,,15.9,0.6,
02/04/2017,1800,24.7,56.0,925.4,2.5,18.0,6.0,,,,,
03/04/2017,0000,19.5,82.0,926.4,2.6,14.0,7.0,9.40,27.6,,,
03/04/2017,1200,20.0,76.0,927.6,2.0,14.0,3.0,,,15.9,0.0,
03/04/2017,1800,27.0,47.0,924.3,1.3,27.0,6.0,,,,,
04/04/2017,0000,20.5,95.0,926.4,2.6,14.0,10.0,8.50,29.7,,,
